,date,morning,night,food0,food1,food2,food3,food4,food5,food6,food7,food8,food9,alcohol,vegetables,fruits,fats,starches
72,2016-03-07 00:00:00,208.0,210.0,Bagel/Fruit,,,Veggies/Ranch/Roasted Chicken,,,Veggies/Ranch/Roasted Chicken,Qtr Burrito/Salad/Orange,,Chips/Salsa,1.0,3.0,2.5,1.0,2.0
73,2016-03-08 00:00:00,208.0,208.0,Apple/Orange,,,Chicken Corn Chowder,Spring Mix,,,Pasta/Lasagna/Bread,,,1.0,1.0,2.0,1.5,2.0
74,2016-03-09 00:00:00,207.0,,Chorizo Egg Sandwich,,,Butter Chicken/Saffron Rice,,,,Lasagna/Salad/Roll,,,0.5,1.0,0.0,1.5,3.0
75,2016-03-10 00:00:00,,,Bagel/Hash Browns/Smoothie,,,Thai Lunchbox,,Olivia's Leftovers,,Burger/Mac & Cheese,,,3.0,1.0,1.0,2.5,4.0
76,2016-03-11 00:00:00,,,French Toast/Bacon/Smoothie,,,Half Rueben/Salad,,,,Half Rueben,Pizza,,3.0,1.0,1.0,2.0,3.0
77,2016-03-12 00:00:00,,,Omelette/Bagel/Bacon,,,Berry Frozen Yogurt/Free Samples,,Half Roast Beef Sandwich,,Prime Rib/Bread/Salad/Veggies,Fruit/Cool Whip,,2.0,2.0,2.0,2.5,2.5
78,2016-03-13 00:00:00,,212.0,Bread/Sausage,,,Scramble/Potatoes/Biscuit,,Chicken McWrap,,Chicken Salad,,,1.0,2.5,0.5,2.0,2.5
79,2016-03-14 00:00:00,209.0,210.0,OB Muffin,,,Broccoli Salad/Green Beans/Potato Curry/Brown Rice,,,,Chicken Corn Chowder,Spring Mix,Prunes,1.0,3.0,1.0,2.0,2.0
80,2016-03-15 00:00:00,208.0,208.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken,,,,Pizza/Spinach/Cookies,,,1.0,3.0,2.0,1.5,1.5
81,2016-03-16 00:00:00,205.0,207.0,Apple/Orange,,,Veggies/Ranch/Roasted Chicken,,,,Chipotle Chicken Corn Chowder/Spring Mix,,,0.0,4.0,2.0,1.5,0.5
82,2016-03-17 00:00:00,206.0,206.0,Apple/Orange,,,Southwest Chicken Salad,,Veggie/Popcorn/Candy Snacks,,Pizza,,,3.5,2.0,2.0,1.5,1.5
83,2016-03-18 00:00:00,205.0,207.0,Apple/Nectarine,,,Veggies/Ranch/Roasted Chicken,,,,Pizza/Spring Mix,,,2.0,3.5,2.0,1.5,1.0
84,2016-03-19 00:00:00,205.0,208.0,Veggies/Ranch/Roasted Chicken,,,Egg/Peppers/Spring Mix/Orange,,,,Lamb Deluxe/Fries,,,5.0,4.5,1.0,2.0,1.5
85,2016-03-20 00:00:00,206.0,208.0,Donuts,,Chips/Salsa/Carrots,Steak/Potatoes/Salad/Orange,,,,Chicken & Sausage Gumbo/Multi-Grain Bagel,Apple,Orange,0.0,2.0,2.5,1.5,2.0
86,2016-03-21 00:00:00,207.0,208.0,Apple/Orange,,,Sandwich/Salad,,,Carrots/Ranch,Chips/Salsa/Half Burrito,,,1.0,2.0,2.5,2.0,1.5
87,2016-03-22 00:00:00,206.0,205.0,Apple/Orange,,,Half Burrito/Carrots/Ranch,,,,Pizza,,,3.5,1.0,2.0,2.0,2.0
88,2016-03-23 00:00:00,204.0,207.0,Pizza/Apple,,,Chipotle Chicken Corn Chowder,,Wrap,Carrots/Ranch,Chicken,,,0.0,1.5,1.0,2.0,1.5
89,2016-03-24 00:00:00,205.0,205.0,Apple/Orange/Half Egg,,,Veggies/Ranch/Roasted Chicken,,,,Red Curry,,,0.0,2.0,2.0,1.5,1.0
90,2016-03-25 00:00:00,204.0,204.0,Ham & Cheddar Croissant,,,Apple/Roasted Chicken,,,,Steak/Rice/Asparagus,,Pizza,5.0,1.0,1.0,2.0,2.5
91,2016-03-26 00:00:00,204.0,205.0,Pork Sausage/Pepper Omelette/Orange,,,Apple,,,Pizza,Pizza,,Chicken,1.0,0.5,2.0,2.0,1.5
92,2016-03-27 00:00:00,202.0,207.0,Bagel/Donut Hole/Strawberry/Grapes,,Chips/Cheese & Crackers,Pork/Rice/Salad/Bacon/Sweet Potatoes,,,,Half Cuban Sandwich/Cole Slaw,,,2.0,2.0,0.5,2.5,3.5
93,2016-03-28 00:00:00,204.0,206.0,Pork Sausage/Orange,,,Half Cuban Sandwich,,,,Naan,Nachos,Peanut Butter,2.0,0.0,1.0,3.5,2.5
94,2016-03-29 00:00:00,203.0,206.0,Whole Wheat Bagel,,,Broccoli/Green Beans/Spicy Teriyaki Chicken/Brown Rice,,,,Pasta/Lasagna/Salad/Asparagus,Cake/Chocolates,,0.0,3.5,0.0,2.0,2.5
95,2016-03-30 00:00:00,203.0,204.0,Ham & Cheddar Croissant,,,Broccoli/Green Beans/Spicy Teriyaki Chicken/Brown Rice,,,,Roasted Chicken/Arugula/Carrots,Peanut Butter/Graham Crackers,,0.0,3.5,0.0,1.5,1.5
96,2016-03-31 00:00:00,202.0,205.0,Apple/Orange,Pork Sausage,,Carrots/Ranch/Chicken,,Chipotle Chicken Corn Chowder,,Arugula/Chicken,Peanut Butter/Graham Crackers,,1.0,3.0,2.0,2.5,1.0
97,2016-04-01 00:00:00,202.0,207.0,Apple/Orange,,,Spicy Chicken Vegetables Teriyaki,,,,Pizza,Pizza,,3.0,1.0,2.0,2.5,2.5
98,2016-04-02 00:00:00,204.0,205.0,Apple,Orange,,Carrots/Chicken,,,,Bread/Chicken Parm/Key Lime Meringue,,,4.0,1.5,2.0,1.5,2.0
99,2016-04-03 00:00:00,202.0,205.0,LO Chicken Parm,Donut,,Spanish Fly Biscuit,,,,Cole Slaw/Rice/Chicken/Spring Roll/Chow Mein,,Chips/Salsa,1.0,1.5,1.0,2.0,4.0
100,2016-04-04 00:00:00,203.0,205.0,Bagel/Fruit,,,Veggies/Ranch/Roasted Chicken,,,Chips/Salsa,Salmon Arugula Salad,,Peanut Butter/Graham Crackers,1.0,4.0,2.0,2.0,2.5
101,2016-04-05 00:00:00,204.0,203.0,Apple/Orange/Whole Wheat English Muffin,,,Veggies/Ranch/Roasted Chicken,,,,Pizza/Spinach,,,1.0,3.5,2.0,1.5,2.0
